id,customer_id,month,name,age,ssn,occupation,annual_income,monthly_inhand_salary,num_bank_accounts,num_credit_card,interest_rate,num_of_loan,type_of_loan,delay_from_due_date,num_of_delayed_payment,changed_credit_limit,num_credit_inquiries,credit_mix,outstanding_debt,credit_utilization_ratio,credit_history_age,payment_of_min_amount,total_emi_per_month,amount_invested_monthly,payment_behaviour,monthly_balance,credit_score
76240.0,5461.0,3,2497.0,925.0,11850.0,4,4862.0,14258.803333333335,2.0,3.0,2.0,1.0,6260.0,12.0,732.0,3208.0,2.0,1,639.0,40.36308934058594,184.0,1,0.0,83412.0,5,96212.0,Good
63329.0,9567.0,2,4220.0,475.0,1860.0,9,1816.0,10511.765,2.0,3.0,3.0,1.0,6260.0,11.0,671.0,3526.0,3.0,1,10234.0,39.80772767345292,257.0,1,0.0,68554.0,5,92099.0,Good
65328.0,12010.0,3,11.0,702.0,9654.0,4,18595.0,7911.899999999999,1.0,1.0,7.0,244.0,5391.0,12.0,732.0,815.0,4.0,3,1277.0,40.33881968753264,208.0,0,320.5966131576181,7208.0,2,85507.0,Good
88241.0,11605.0,2,8944.0,877.0,11700.0,2,15236.0,5560.756666666667,5.0,7.0,4.0,3.0,2100.0,11.0,46.0,4163.0,3.0,3,2032.0,29.96723931623841,181.0,1,47.835726216524,20469.0,3,85993.0,Good
46664.0,1837.0,6,745.0,701.0,5059.0,12,3639.0,1396.0725,5.0,3.0,10.0,1.0,6260.0,13.0,654.0,903.0,0.0,1,9132.0,24.69875406633821,110.0,1,0.0,66016.0,4,55235.0,Good
70655.0,9672.0,1,3567.0,451.0,9533.0,15,16724.0,6355.026666666668,4.0,0.0,5147.0,244.0,3636.0,7.0,749.0,3225.0,3.0,1,12446.0,35.61972363119133,404.0,1,211.21452529999908,67770.0,4,2646.0,Good
2787.0,10690.0,0,412.0,388.0,6072.0,4,8396.0,2091.306666666667,0.0,2.0,8.0,1.0,6260.0,14.0,749.0,3671.0,0.0,1,11683.0,35.05134122030921,239.0,1,0.0,84080.0,5,65745.0,Good
9885.0,5689.0,5,3584.0,673.0,765.0,9,9748.0,2485.185833333333,5.0,2.0,1.0,210.0,4136.0,5.0,8.0,1064.0,3.0,1,2590.0,34.05334568071188,92.0,0,42.19644172792261,15206.0,3,47326.0,Good
69725.0,6327.0,5,656.0,811.0,5190.0,2,17109.0,7056.861666666668,2.0,7.0,2.0,244.0,4420.0,7.0,705.0,3845.0,6.0,1,11602.0,41.6916746227677,135.0,1,146.79677599406364,20197.0,1,87635.0,Good
18089.0,5701.0,7,9551.0,978.0,4538.0,14,2783.0,11956.666666666664,4.0,4.0,8.0,3.0,0.0,4.0,407.0,1027.0,1.0,1,10166.0,34.216519323509736,325.0,1,79.66192634664648,20145.0,1,2399.0,Good
89541.0,6813.0,5,7050.0,1034.0,7334.0,5,18273.0,7769.456666666666,4.0,5.0,8.0,1.0,6260.0,11.0,263.0,4189.0,0.0,2,9587.0,35.28971938495748,159.0,2,0.0,76868.0,5,51410.0,Good
4554.0,4514.0,6,4254.0,451.0,8234.0,3,9584.0,2811.215833333333,3.0,4.0,2.0,174.0,4873.0,15.0,153.0,1055.0,4.0,1,10995.0,26.736389677707585,101.0,1,38.481829065943366,12945.0,3,59052.0,Good
23361.0,6712.0,1,549.0,364.0,3289.0,5,13903.0,4763.136666666666,1.0,2.0,3.0,211.0,4949.0,8.0,749.0,2109.0,3.0,1,11760.0,37.4094253329388,290.0,1,140.97657533860215,26673.0,3,67463.0,Good
91730.0,222.0,6,7919.0,838.0,11477.0,8,13606.0,,3.0,7.0,5.0,211.0,763.0,14.0,453.0,3184.0,4.0,1,2863.0,30.680345381985155,256.0,1,92.50592257129342,29400.0,2,69306.0,Good
68793.0,2240.0,2,3400.0,838.0,654.0,3,8847.0,2333.780833333333,1.0,2.0,3.0,3.0,2779.0,6.0,46.0,4238.0,,1,3016.0,25.81894215814847,265.0,1,45367.0,24211.0,5,47954.0,Good
89302.0,11405.0,4,526.0,949.0,8864.0,11,2129.0,11228.895,3.0,5.0,11.0,0.0,2100.0,13.0,6.0,958.0,4.0,3,7421.0,35.93041935495871,404.0,1,77.63386826733726,70488.0,6,91161.0,Good
90985.0,1448.0,2,4843.0,788.0,0.0,10,6103.0,1445.272083333333,0.0,2.0,10.0,1.0,6260.0,2.0,407.0,1042.0,2.0,3,5521.0,22.89913485492827,245.0,1,0.0,91049.0,6,32545.0,Good
84382.0,10696.0,4,1391.0,531.0,4840.0,14,16586.0,,5.0,5.0,6.0,244.0,3805.0,7.0,749.0,1026.0,10.0,3,6218.0,39.8330642692309,404.0,2,787.21212614434,91049.0,2,79939.0,Good
99526.0,810.0,4,8827.0,217.0,6396.0,4,15473.0,6112.841666666667,2.0,3.0,9.0,244.0,5180.0,9.0,9.0,1570.0,4.0,3,9026.0,37.74508577612912,198.0,1,41749.0,63426.0,1,83996.0,Good
23476.0,4914.0,7,10058.0,747.0,6092.0,3,1685.0,10621.865,1.0,1.0,9.0,211.0,2843.0,0.0,749.0,4276.0,1.0,1,11735.0,37.04743697551971,118.0,1,174.3385269738251,45461.0,4,95603.0,Good
85640.0,1653.0,3,8534.0,277.0,10612.0,10,3864.0,1242.15625,4.0,2.0,4.0,3.0,5591.0,10.0,749.0,4323.0,3.0,1,13030.0,34.36177902025301,141.0,1,6.71953494058182,91049.0,6,54648.0,Good
28478.0,3547.0,4,887.0,877.0,4626.0,11,11265.0,2983.894166666667,1.0,1.0,11.0,1.0,6260.0,6.0,685.0,3316.0,3.0,1,1213.0,23.42018573092136,97.0,1,0.0,69745.0,1,76139.0,Good
2372.0,8617.0,7,9128.0,194.0,10965.0,14,17097.0,6765.796666666666,5.0,3.0,15.0,174.0,3456.0,13.0,30.0,4270.0,8.0,2,11131.0,36.54294480392214,347.0,2,92.06601549879952,70185.0,1,92739.0,Good
29430.0,3079.0,4,631.0,475.0,826.0,5,9019.0,2836.365,3.0,7.0,7.0,244.0,3160.0,13.0,138.0,1184.0,4.0,1,6762.0,28.95626715377969,298.0,1,55.08366557942635,3276.0,6,66976.0,Good
